,precision,recall,f1-score,support
0,0.9747340425531915,0.9569190600522193,0.9657444005270093,766.0
1,0.9175,0.9507772020725389,0.9338422391857507,386.0
accuracy,0.9548611111111112,0.9548611111111112,0.9548611111111112,0.9548611111111112
macro avg,0.9461170212765957,0.9538481310623791,0.9497933198563799,1152.0
weighted avg,0.9555566637115839,0.9548611111111112,0.9550549610498168,1152.0
