,precision,recall,f1-score,support
0,0.9391041771514846,0.9759414225941423,0.9571685047448063,1912.0
1,0.9170480549199085,0.8292809105018106,0.8709589785384406,1933.0
2,0.870919881305638,0.9210251046025104,0.8952719877986781,1912.0
accuracy,0.9084592669793295,0.9084592669793295,0.9084592669793295,0.9084592669793295
macro avg,0.9090240377923436,0.9087491458994877,0.907799823693975,5757.0
weighted avg,0.9090533072659722,0.9084592669793295,0.9076654381201925,5757.0
