,precision,recall,f1-score,support
0,0.9646596858638743,0.9621409921671018,0.9633986928104574,766.0
1,0.9252577319587629,0.9300518134715026,0.9276485788113695,386.0
accuracy,0.9513888888888888,0.9513888888888888,0.9513888888888888,0.9513888888888888
macro avg,0.9449587089113186,0.9460964028193022,0.9455236358109135,1152.0
weighted avg,0.951457295058863,0.9513888888888888,0.9514199219739575,1152.0
